English,Original,Seq2Seq,Attention
dhulikona,ধূলিকণা,ঢুলিকনা,ধূলিকণা
nouda,নওদা,নৌদা,নওদা
noganyo,নগন্য,নগান্য,নগন্য
nogonno,নগন্য,নগন্ন,নগন্য
natoraj,নটরাজ,নাটরাজ,নটরাজ
nadnadi,নদনদী,নদ্নাি,নদনদী
nodiyi,নদীই,নদিও,নদীই
naubonirbachito,নবনির্বাচিত,নৌবরবাচিত্বিত,নবনির্বাচিত
nabami,নবমী,নবামী,নবমী
naabi,নবি,নাবী,নবি
nabhi,নবি,নাভী,নবি
nobi,নবি,নবী,নবি
nabir,নবির,নবীর,নবির
nobir,নবির,নবীর,নবির
nobinbaran,নবীনবরণ,নবীবনরণ,নবীনবরণ
nobinboron,নবীনবরণ,নবীবরণ,নবীনবরণ
norobalir,নরবলির,নরবালীর,নরবলির
norobolir,নরবলির,নরবলীর,নরবলির
nitragen,নাইট্রোজেন,নিত্রাগেন,নাইট্রোজেন
nitrogen,নাইট্রোজেন,নিত্রগণ,নাইট্রোজেন
nitroogen,নাইট্রোজেন,নিত্রগেন,নাইট্রোজেন
nitrogener,নাইট্রোজেনের,নিত্রগণের,নাইট্রোজেনের
nagorikgan,নাগরিকগণ,নাগরিকণ,নাগরিকগণ
naagaalyande,নাগাল্যান্ডে,নাগল্যান্ডে,নাগাল্যান্ডে
naju,নাজু,নজু,নাজু
nazu,নাজু,নজু,নাজু
nabba,নাব্য,নবব্য,নাব্য
nariito,নারীত্ব,নারিত,নারীত্ব
narsaarite,নার্সারিতে,নার্সারীতে,নার্সারিতে
naaseer,নাসির,নাসীর,নাসির
naseer,নাসির,নাসীর,নাসির
naseerer,নাসিরের,নাসীরের,নাসিরের
nikatei,নিকটেই,নিকাতেই,নিকটেই
nimnarooph,নিম্নরূপঃ,নিম্নরাফ,নিম্নরূপঃ
nimnorupoh,নিম্নরূপঃ,নিম্নরূহ,নিম্নরূপঃ
niyana,নিয়ন,নিয়া,নিয়ন
ner,নিয়ার,নার,নিয়ার
nirankkush,নিরঙ্কুশ,নিরাকক্ষ,নিরঙ্কুশ
niropekshta,নিরপেক্ষতা,নিরোপেক্ষট,নিরপেক্ষতা
nirapekkhovabe,নিরপেক্ষভাবে,নিরাপক্ষভাবে,নিরপেক্ষভাবে
niropekshbhabe,নিরপেক্ষভাবে,নিরোপকেষভাবে,নিরপেক্ষভাবে
nirabodhi,নিরবধি,নিরাবোধী,নিরবধি
nirapattaa,নিরাপত্তা,নিরপত্য,নিরাপত্তা
nirapottaa,নিরাপত্তা,নিরপত্য,নিরাপত্তা
nirapottao,নিরাপত্তাও,নিরাপত্যও,নিরাপত্তাও
nirapattaar,নিরাপত্তার,নিরপত্তার,নিরাপত্তার
nirapattar,নিরাপত্তার,নিরপত্যার,নিরাপত্তার
nirapottaar,নিরাপত্তার,নিরপত্তার,নিরাপত্তার
nirapottar,নিরাপত্তার,নিরপত্তার,নিরাপত্তার
nirgomoney,নির্গমনে,নির্গমণে,নির্গমনে
nirgamoner,নির্গমনের,নির্গামনের,নির্গমনের
nirgomoner,নির্গমনের,নির্গমণের,নির্গমনের
nishkashita,নিষ্কাশিত,নিক্ষাসিত,নিষ্কাশিত
nisthaban,নিষ্ঠাবান,নিষ্ঠাবন,নিষ্ঠাবান
nilkuthi,নীলকুঠি,নিলকুঠি,নীলকুঠি
nudulsher,নুডলসের,নুদূলসের,নুডলসের
nreetatwo,নৃতত্ত্ব,নৃতাত্ব,নৃতত্ত্ব
neext,নেক্সট,নিক্সট,নেক্সট
neture,নেচার,নেচারে,নেচার
netara,নেতারা,নেটার,নেতারা
neheru,নেহরু,নেহেরু,নেহরু
nehoroo,নেহরু,নেহর,নেহরু
nehoroor,নেহরুর,নেহরর,নেহরুর
nehorur,নেহরুর,নেহরর,নেহরুর
neirajjo,নৈরাজ্য,নিরাজ্য,নৈরাজ্য
neirajyo,নৈরাজ্য,নিরাজ্য,নৈরাজ্য
neirajyer,নৈরাজ্যের,নিরাজ্যের,নৈরাজ্যের
not,নোট,নট,নোট
natasa,নোটস,নটটাশ,নোটস
notasa,নোটস,নোটাস,নোটস
pankaj,পঙ্কজ,পাঙাকজ,পঙ্কজ
pokhhyraj,পঙ্খিরাজ,পক্ষাজার,পঙ্খিরাজ
pangapal,পঙ্গপাল,পাঙ্চাল,পঙ্গপাল
pongopal,পঙ্গপাল,পঙ্চপাল,পঙ্গপাল
panchamangsho,পঞ্চমাংশ,পঞ্চাশমম্গ,পঞ্চমাংশ
ponchanon,পঞ্চানন,পঞ্চন,পঞ্চানন
ponjeekaa,পঞ্জিকা,পণ্জিকা,পঞ্জিকা
ponjjika,পঞ্জিকা,পঞ্জজিকা,পঞ্জিকা
potel,পটেল,পোটলে,পটেল
patenga,পতেঙ্গা,পটেঙ্গ,পতেঙ্গা
pathocharyder,পথচারীদের,পাঠরাাইদের,পথচারীদের
podojatra,পদযাত্রা,পদাজত্র,পদযাত্রা
padanato,পদানত,পদনাত,পদানত
podanoto,পদানত,পদানতঃ,পদানত
paneroti,পনেরটি,পানারটি,পনেরটি
pontha,পন্থা,পোঁঠা,পন্থা
ponthaa,পন্থা,পোঁঠা,পন্থা
parikha,পরিখা,পরীক্ষা,পরিখা
porikha,পরিখা,পরীখ্ষা,পরিখা
parichchanna,পরিচ্ছন্ন,পরিচ্ছান্য,পরিচ্ছন্ন
porinitite,পরিণতিতে,পরিণীতিতে,পরিণতিতে
parinatir,পরিণতির,পরিনতির,পরিণতির
parinotir,পরিণতির,পরিনতির,পরিণতির
parinita,পরিণীত,পরিনীত,পরিণীত
parinito,পরিণীত,পরিণিত,পরিণীত
poriniito,পরিণীত,পরিণিত,পরিণীত
porinito,পরিণীত,পরিণিত,পরিণীত
paripak,পরিপাক,পরিপক,পরিপাক
paribeshtito,পরিবেষ্টিত,পরিবেশ্িত,পরিবেষ্টিত
poribeshtito,পরিবেষ্টিত,পরিবেষ্িত,পরিবেষ্টিত
poribesteeto,পরিবেষ্টিত,পরিবেশতিত,পরিবেষ্টিত
poribestito,পরিবেষ্টিত,পরিবেশ্তিত,পরিবেষ্টিত
porishodhon,পরিশোধন,পরিসনধন,পরিশোধন
porisodhon,পরিশোধন,পরিসোধন,পরিশোধন
porishodhoner,পরিশোধনের,পরিষণধনের,পরিশোধনের
parishodhita,পরিশোধিত,পরিসোধিত,পরিশোধিত
porisodhe,পরিশোধে,পরিষোধে,পরিশোধে
porishodher,পরিশোধের,পরিষদধের,পরিশোধের
parishramey,পরিশ্রমে,পরিস্রমে,পরিশ্রমে
porissrome,পরিশ্রমে,পরিস্রোম,পরিশ্রমে
parishramer,পরিশ্রমের,পরিস্রমের,পরিশ্রমের
porissromer,পরিশ্রমের,পরিস্র্মের,পরিশ্রমের
porisphuto,পরিস্ফুট,পরিস্ফুত,পরিস্ফুট
parjatak,পর্যটক,পার্জাত,পর্যটক
parjotako,পর্যটকও,পর্যতাক,পর্যটকও
porjotoko,পর্যটকও,পর্যতকক,পর্যটকও
parjatakera,পর্যটকেরা,পার্জাতকের,পর্যটকেরা
pahela,পহেলা,পাহেল,পহেলা
panchali,পাঁচালী,পঞ্চলী,পাঁচালী
pajorey,পাঁজরে,পাজরে,পাঁজরে
paek,পাইক,পাক,পাইক
pek,পাইক,পেক,পাইক
pike,পাইক,পিকে,পাইক
piqe,পাইক,পিকে,পাইক
paikaree,পাইকারী,পাইকারি,পাইকারী
pouli,পাওলি,পৌলি,পাওলি
paakshenader,পাকসেনাদের,পাক্ষানদের,পাকসেনাদের
pungus,পাঙ্গাস,পাঙ্গুস,পাঙ্গাস
pachche,পাচ্ছে,পাঁচচে,পাচ্ছে
pachhe,পাচ্ছে,পাঁচে,পাচ্ছে
pana,পান,পানা,পান
paarijat,পারিজাত,পরিজাত,পারিজাত
pareejaat,পারিজাত,পরিজৎ,পারিজাত
parizat,পারিজাত,পরিজত,পারিজাত
parkeo,পার্কেও,পার্কও,পার্কেও
parlaur,পার্লার,পার্লুর,পার্লার
parlour,পার্লার,পার্লুর,পার্লার
parshwei,পার্শ্বেই,পার্স্যেই,পার্শ্বেই
parswei,পার্শ্বেই,পার্সওই,পার্শ্বেই
palogshak,পালংশাক,পালোষক,পালংশাক
pyaas,পিউস,প্যাশ,পিউস
po,পিও,পো,পিও
peekaasho,পিকাসো,পিকাশ,পিকাসো
peeqaaso,পিকাসো,পিকাশ,পিকাসো
pikasor,পিকাসোর,পিকাশোর,পিকাসোর
peter,পিটার,পেটের,পিটার
peters,পিটার্স,পেটার্স,পিটার্স
pipasa,পিপাসা,পিপাস,পিপাসা
pipasha,পিপাসা,পিপাশ,পিপাসা
panist,পিয়ানিস্ট,পানিশ্ট,পিয়ানিস্ট
piyanishta,পিয়ানিস্ট,পিয়েনিস্ট,পিয়ানিস্ট
piyanista,পিয়ানিস্ট,পিয়েনিস্ট,পিয়ানিস্ট
peether,পীঠের,পিঠের,পীঠের
puratana,পুরাতন,পুরাটানা,পুরাতন
puraton,পুরাতন,পুরাটন,পুরাতন
purohit,পুরোহিত,পুরুহিত,পুরোহিত
pooroheeter,পুরোহিতের,পুরহীতের,পুরোহিতের
pujjyo,পূজ্য,পুজ্জ,পূজ্য
paintings,পেইন্টিংস,পাইন্টিংস,পেইন্টিংস
peepasi,পেপসি,পিপাসি,পেপসি
peepsi,পেপসি,পিপসি,পেপসি
pepasii,পেপসি,পেপাসী,পেপসি
pipshhi,পেপসি,পিপশি,পেপসি
pipsi,পেপসি,পিপশি,পেপসি
pashte,পেস্ট,পাষ্টে,পেস্ট
poolioo,পোলিও,পুলিও,পোলিও
poosta,পোস্ট,পুষ্ট,পোস্ট
pastmasterr,পোস্টমাস্টার,পাস্তম্টের,পোস্টমাস্টার
poostamastara,পোস্টমাস্টার,পুস্তাসমত্র,পোস্টমাস্টার
poshtamashtara,পোস্টমাস্টার,পোষ্টমস্তার,পোস্টমাস্টার
postmaster,পোস্টমাস্টার,পোস্তম্তের,পোস্টমাস্টার
postmasterr,পোস্টমাস্টার,পোস্তম্টের,পোস্টমাস্টার
pastim,পোস্টিং,পাস্টিং,পোস্টিং
poostim,পোস্টিং,পুস্টিং,পোস্টিং
posteem,পোস্টিং,পোস্টিম,পোস্টিং
patterner,প্যাটার্নের,পাটার্নের,প্যাটার্নের
paathalagy,প্যাথলজি,পাঠালগী,প্যাথলজি
paathology,প্যাথলজি,পাললোগী,প্যাথলজি
paatholojii,প্যাথলজি,পালোজী,প্যাথলজি
paatholojy,প্যাথলজি,পালোজ্ি,প্যাথলজি
pathalaji,প্যাথলজি,পাঠালিজী,প্যাথলজি
pathology,প্যাথলজি,পাললোগী,প্যাথলজি
palestine,প্যালেস্টাইন,পলেস্টিন,প্যালেস্টাইন
prokalpa,প্রকল্প,প্রোকল্প,প্রকল্প
prakalpoke,প্রকল্পকে,প্রকালপকে,প্রকল্পকে
prakalpagulir,প্রকল্পগুলির,প্রকালগুলির,প্রকল্পগুলির
prakalpogulir,প্রকল্পগুলির,প্রকালগুলির,প্রকল্পগুলির
prokalpagulir,প্রকল্পগুলির,প্রকালগুলির,প্রকল্পগুলির
prakalpatite,প্রকল্পটিতে,প্রকালপাতি,প্রকল্পটিতে
prakalpotite,প্রকল্পটিতে,প্রকালপাতি,প্রকল্পটিতে
prokolposhomuho,প্রকল্পসমূহ,প্রকোলসমূহ,প্রকল্পসমূহ
prokalpasamuher,প্রকল্পসমূহের,প্রকল্পমমাহের,প্রকল্পসমূহের
prakarei,প্রকারেই,প্রারাকেই,প্রকারেই
prokashitabya,প্রকাশিতব্য,প্রক্ষিতাবিয,প্রকাশিতব্য
prokashitabyo,প্রকাশিতব্য,প্রক্ষিতাব্য,প্রকাশিতব্য
prachandobhabe,প্রচণ্ডভাবে,প্রচনন্যভাবে,প্রচণ্ডভাবে
prajanmake,প্রজন্মকে,প্রজননমকমে,প্রজন্মকে
projanmake,প্রজন্মকে,প্রজননমকমে,প্রজন্মকে
projonmoke,প্রজন্মকে,প্রজনমকমে,প্রজন্মকে
prozonmoke,প্রজন্মকে,প্রজনমকমে,প্রজন্মকে
projanme,প্রজন্মে,প্রজান্মে,প্রজন্মে
pratikar,প্রতিকার,প্রতিকাকার,প্রতিকার
protipad,প্রতিপদ,প্রতিপাদ,প্রতিপদ
protipada,প্রতিপদ,প্রতিপাদ,প্রতিপদ
protipado,প্রতিপদ,প্রতিপাদ,প্রতিপদ
protima,প্রতিমা,প্রোটিম,প্রতিমা
pratiyogikey,প্রতিযোগীকে,প্রতিযোগিতকে,প্রতিযোগীকে
pratijogir,প্রতিযোগীর,প্রতিযোগির,প্রতিযোগীর
protijogiir,প্রতিযোগীর,প্রতিযোগিয়ার,প্রতিযোগীর
protizogiir,প্রতিযোগীর,প্রতিযোগির,প্রতিযোগীর
pratistha,প্রতিষ্ঠা,প্রতিষ্ঠ,প্রতিষ্ঠা
protnosthol,প্রত্নস্থল,প্রতন্্ত্থল,প্রত্নস্থল
pratyokkho,প্রত্যক্ষ,প্রত্যাক্ষ,প্রত্যক্ষ
prottokho,প্রত্যক্ষ,প্রত্যাখ্য,প্রত্যক্ষ
prottokkho,প্রত্যক্ষ,প্রত্যক্ষ্য,প্রত্যক্ষ
protyokkho,প্রত্যক্ষ,প্রত্যক্ষ্য,প্রত্যক্ষ
protyekeri,প্রত্যেকেরই,প্রত্যেককি,প্রত্যেকেরই
protha,প্রথা,প্রথথা,প্রথা
prothou,প্রথাও,প্রথথও,প্রথাও
prodorshon,প্রদর্শণ,প্রদর্শন,প্রদর্শণ
probeshpath,প্রবেশপথ,প্রবেষপাথ,প্রবেশপথ
provuke,প্রভুকে,প্রভূকে,প্রভুকে
provriti,প্রভৃতি,প্রভিতি,প্রভৃতি
pravriti,প্রভৃতিও,প্রভৃতি,প্রভৃতিও
promod,প্রমোদ,প্রমদ,প্রমোদ
prasashanik,প্রসাশনিক,প্রশাসনিক,প্রসাশনিক
prosashonik,প্রসাশনিক,প্রশাসনিক,প্রসাশনিক
pracessar,প্রসেসর,প্রসেসার,প্রসেসর
prasheshara,প্রসেসর,প্রশেসার,প্রসেসর
processore,প্রসেসরে,প্রসেসওরে,প্রসেসরে
processorer,প্রসেসরের,প্রসেশওরের,প্রসেসরের
prastutkarokra,প্রস্তুতকারকরা,প্রস্তুতকররা,প্রস্তুতকারকরা
proshtutkarokra,প্রস্তুতকারকরা,প্রস্তুতকররা,প্রস্তুতকারকরা
prostutkarakra,প্রস্তুতকারকরা,প্রস্তুতারক,প্রস্তুতকারকরা
prostutkarokra,প্রস্তুতকারকরা,প্রস্তুতকরর,প্রস্তুতকারকরা
prastutkaraker,প্রস্তুতকারকের,প্রস্তুতকরের,প্রস্তুতকারকের
prastutkaroker,প্রস্তুতকারকের,প্রস্তুতকররের,প্রস্তুতকারকের
prostutkaraker,প্রস্তুতকারকের,প্রস্তুতকরের,প্রস্তুতকারকের
prostha,প্রস্থ,প্রস্থা,প্রস্থ
prachinkale,প্রাচীনকালে,প্রািক্লাে,প্রাচীনকালে
prachurjo,প্রাচুর্য,প্রচৌর্য,প্রাচুর্য
prachuryo,প্রাচুর্য,প্রচার্য,প্রাচুর্য
prachurzota,প্রাচুর্যতা,প্রচুর্যতা,প্রাচুর্যতা
prasadopam,প্রাসাদোপম,প্রসাদপম,প্রাসাদোপম
prerita,প্রেরিত,প্রিটা,প্রেরিত
preshidium,প্রেসিডিয়াম,প্রেশিডিউম,প্রেসিডিয়াম
presidium,প্রেসিডিয়াম,প্রেসিসিয়াম,প্রেসিডিয়াম
prapaganda,প্রোপাগান্ডা,প্রোপান্দ,প্রোপাগান্ডা
proopaganda,প্রোপাগান্ডা,প্রপাগান্দা,প্রোপাগান্ডা
propaganda,প্রোপাগান্ডা,প্রোপান্দ,প্রোপাগান্ডা
promosioner,প্রোমোশনের,প্রমশনের,প্রোমোশনের
plateti,প্লেটটি,প্লেটেটি,প্লেটটি
fokhore,ফখরে,ফকোরে,ফখরে
phokhore,ফখরে,ফোখরে,ফখরে
farm,ফর্ম,ফার্ম,ফর্ম
form,ফর্ম,ফরম,ফর্ম
pharma,ফর্ম,ফার্ম,ফর্ম
faloker,ফলকের,ফললকের,ফলকের
falgulo,ফলগুলো,ফালগুলো,ফলগুলো
folti,ফলটি,ফোলটি,ফলটি
falto,ফলতো,ফল্ট,ফলতো
folto,ফলতো,ফল্ট,ফলতো
falaprasu,ফলপ্রসু,ফালপ্রসু,ফলপ্রসু
fals,ফলস,ফোলস,ফলস
phals,ফলস,ফালস,ফলস
foling,ফলিং,ফোলিং,ফলিং
fiberer,ফাইবারের,ফিবারের,ফাইবারের
fander,ফান্ডের,ফাঁদের,ফান্ডের
farsi,ফার্সী,ফার্সি,ফার্সী
fifty,ফিফটি,ফিইটি,ফিফটি
phiristara,ফিরিশতারা,ফিরিস্টার,ফিরিশতারা
filipine,ফিলিপাইন,ফিলিপিনে,ফিলিপাইন
feesh,ফিস,ফেস,ফিস
fiis,ফিস,ফিশ,ফিস
fish,ফিস,ফিশ,ফিস
phees,ফিস,ফেস,ফিস
phis,ফিস,ফিশ,ফিস
phisa,ফিস,ফিশ,ফিস
phisha,ফিস,ফিশ,ফিস
footbalarke,ফুটবলারকে,ফুটবারকে,ফুটবলারকে
february,ফেব্রুয়ারী,ফেব্রুরি,ফেব্রুয়ারী
februyari,ফেব্রুয়ারী,ফেববরায়ারি,ফেব্রুয়ারী
phebruary,ফেব্রুয়ারী,ফেবরারি,ফেব্রুয়ারী
phebruyari,ফেব্রুয়ারী,ফেববরাইয়ারি,ফেব্রুয়ারী
faculty,ফ্যাকাল্টি,ফাউক্টি,ফ্যাকাল্টি
franciscore,ফ্রান্সিসকোর,ফ্রান্সিসরে,ফ্রান্সিসকোর
phlaim,ফ্লাইং,ফ্লাইম,ফ্লাইং
phlem,ফ্লাইং,ফ্লেম,ফ্লাইং
phlying,ফ্লাইং,ফ্লেইং,ফ্লাইং
bongshodhara,বংশধারা,বংশধররা,বংশধারা
bongshodvuto,বংশোদ্ভুত,বংশোদ্ভূত,বংশোদ্ভুত
baga,বগা,বাগা,বগা
bongobondhke,বঙ্গবন্ধুকে,বংগবন্ধকে,বঙ্গবন্ধুকে
bongoposagor,বঙ্গোপসাগর,বঙ্পজাগর,বঙ্গোপসাগর
bongoposagorey,বঙ্গোপসাগরে,বঙ্গপাগরে,বঙ্গোপসাগরে
bangoposagarer,বঙ্গোপসাগরের,বঙ্গপসগরের,বঙ্গোপসাগরের
batuta,বতুতা,ব্যাুট,বতুতা
botuta,বতুতা,বটুটা,বতুতা
botutar,বতুতার,বতুটার,বতুতার
bondiidosa,বন্দীদশা,বন্দিদাসা,বন্দীদশা
bondiider,বন্দীদের,বন্দিদের,বন্দীদের
bondukdhari,বন্দুকধারী,বন্দুধকারী,বন্দুকধারী
bondukdharira,বন্দুকধারীরা,বন্দুকধররীরা,বন্দুকধারীরা
banduker,বন্দুকের,বানদুকের,বন্দুকের
bondhur,বন্ধুর,বনধুর,বন্ধুর
bandhura,বন্ধুরা,বাঁধুরা,বন্ধুরা
bandhuraa,বন্ধুরা,বাঁধুরা,বন্ধুরা
bondhura,বন্ধুরা,বনধুরা,বন্ধুরা
bandhaa,বন্ধ্যা,বন্ধা,বন্ধ্যা
bondha,বন্ধ্যা,বন্ধা,বন্ধ্যা
bannopraanii,বন্যপ্রাণী,বন্নপ্রাণী,বন্যপ্রাণী
barancha,বরঞ্চ,বারাঞ্চ,বরঞ্চ
borancha,বরঞ্চ,বররাঞ্চ,বরঞ্চ
bornil,বর্ণীল,বর্ণিল,বর্ণীল
bolte,বলতে,বলটে,বলতে
baltei,বলতেই,বলটেই,বলতেই
bosantakale,বসন্তকালে,বসন্তাকালে,বসন্তকালে
bosantapur,বসন্তপুর,বসন্তাপুর,বসন্তপুর
bossontopoor,বসন্তপুর,বস্ননতপুর,বসন্তপুর
bosstonter,বসন্তের,বস্তনটের,বসন্তের
bosobassroto,বসবাসরত,বসবাস্ত,বসবাসরত
behrampore,বহরমপুর,বেহ্মপুরে,বহরমপুর
bohorompur,বহরমপুর,বহরমুপুর,বহরমপুর
behrampore,বহরমপুরে,বেহ্মপুরে,বহরমপুরে
baankaano,বাঁকানো,বাঙকান,বাঁকানো
bashi,বাঁশি,বাসি,বাঁশি
bashir,বাঁশির,বাসির,বাঁশির
bang,বাং,বাঙ,বাং
baangkaare,বাংকারে,বাঙকারে,বাংকারে
baangkaarer,বাংকারের,বাঙককরর,বাংকারের
baangkarer,বাংকারের,বাঙকের,বাংকারের
bangkarer,বাংকারের,বাঙ্কারের,বাংকারের
bankerer,বাংকারের,ব্যাংকেরের,বাংকারের
baksaler,বাকশালের,বাকশলের,বাকশালের
bug,বাগ,বুগ,বাগ
baji,বাজী,বাজি,বাজী
banijjikbhabe,বাণিজ্যিকভাবে,বানিজ্যিকভাবে,বাণিজ্যিকভাবে
badhle,বাধলে,বাঁধে,বাধলে
badhley,বাধলে,বাঁধে,বাধলে
bani,বানি,বানী,বানি
bardsh,বার্ডস,বর্দস,বার্ডস
baset,বাসেত,বাসেট,বাসেত
bikretar,বিক্রেতার,বিক্রেটার,বিক্রেতার
bidrohi,বিদ্রোহী,বিদ্রহী,বিদ্রোহী
bidrohikey,বিদ্রোহীকে,বিদ্রহীকে,বিদ্রোহীকে
biplobike,বিপ্লবীকে,বিপ্লববককে,বিপ্লবীকে
biplabeera,বিপ্লবীরা,বিপ্লবেরা,বিপ্লবীরা
bifor,বিফোর,বিফর,বিফোর
biphor,বিফোর,বিফফর,বিফোর
bibhrat,বিভ্রাট,বিভ্রত,বিভ্রাট
bivrat,বিভ্রাট,বিভ্রত,বিভ্রাট
birashi,বিরাশি,বিরশি,বিরাশি
bishari,বিরাশি,বিসারী,বিরাশি
bilate,বিলাতে,বিলতে,বিলাতে
bilatey,বিলাতে,বিলতে,বিলাতে
bilet,বিলেত,বিলেট,বিলেত
billet,বিলেত,বিলেট,বিলেত
buildaers,বিল্ডার্স,বিল্দার্স,বিল্ডার্স
bishashti,বিশ্বাসটি,বিশাসটি,বিশ্বাসটি
bisesaggo,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
biseshaggo,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
biseshagya,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
biseshagyo,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
bisheshagga,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
bisheshaggo,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
bisheshagyo,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
bisheshoggo,বিষেশজ্ঞ,বিশেষজ্ঞ,বিষেশজ্ঞ
vishnur,বিষ্ণুর,ভিষ্ণুর,বিষ্ণুর
bishorgo,বিসর্গ,বিশ্রো,বিসর্গ
biharke,বিহারকে,বিহররকে,বিহারকে
bihari,বিহারি,বিহারী,বিহারি
biiharii,বিহারি,বিহরী,বিহারি
biharider,বিহারিদের,বিহারীদের,বিহারিদের
birshreshtha,বীরশ্রেষ্ঠ,বির্ষেষ্ঠ,বীরশ্রেষ্ঠ
birshreshtho,বীরশ্রেষ্ঠ,বির্ষেষ্ঠ,বীরশ্রেষ্ঠ
birjopaat,বীর্যপাত,বির্যপাত,বীর্যপাত
beerjobaan,বীর্যবান,বীর্বজন,বীর্যবান
bourjeois,বুর্জোয়া,বার্জজিস,বুর্জোয়া
boostar,বুস্টার,বস্তার,বুস্টার
booster,বুস্টার,বস্তের,বুস্টার
bustara,বুস্টার,বসস্তার,বুস্টার
brittanta,বৃত্তান্ত,বৃত্নত্ত,বৃত্তান্ত
brittanto,বৃত্তান্ত,বৃত্নত্ব,বৃত্তান্ত
britha,বৃথা,বৃথ,বৃথা
bekim,বেকিং,বেকিম,বেকিং
byaataa,বেটা,ব্যতটা,বেটা
bettaar,বেটার,বেতার,বেটার
bettar,বেটার,বেতার,বেটার
beeneefit,বেনিফিট,বিনেফিত,বেনিফিট
beneefeet,বেনিফিট,বেনেফিত,বেনিফিট
beneefit,বেনিফিট,বেনিফিত,বেনিফিট
benefit,বেনিফিট,বেনেফিত,বেনিফিট
benifeet,বেনিফিট,বেনিফিত,বেনিফিট
benifit,বেনিফিট,বেনিফিত,বেনিফিট
benifita,বেনিফিট,বেনিফিত,বেনিফিট
beralbhee,বেরলভী,বারালভী,বেরলভী
berlovii,বেরলভী,বার্লভভী,বেরলভী
berolvee,বেরলভী,বেরভলভ,বেরলভী
beelfast,বেলফাস্ট,বিলফসস্ট,বেলফাস্ট
belafasta,বেলফাস্ট,বেলাফস্ট,বেলফাস্ট
besheerbhaag,বেশিরভাগ,বেশীরভাগ,বেশিরভাগ
bodhe,বোধে,বধে,বোধে
boonpart,বোনাপার্ট,বন্ার্ট,বোনাপার্ট
boore,বোর,বুরে,বোর
bora,বোর,বরা,বোর
bore,বোর,বরে,বোর
borhes,বোর্হেস,বরহেস,বোর্হেস
bouddhader,বৌদ্ধদের,বৌদ্ধাদের,বৌদ্ধদের
bakoron,ব্যকরণ,বাকরণ,ব্যকরণ
bakron,ব্যকরণ,ব্যাকরর,ব্যকরণ
byatikrom,ব্যতিক্রম,ব্যাতিক্রম,ব্যতিক্রম
byateekromer,ব্যতিক্রমের,ব্যাতিক্রমের,ব্যতিক্রমের
byahato,ব্যহত,ব্যাহাত,ব্যহত
byahoto,ব্যহত,ব্যবহত,ব্যহত
byaghra,ব্যাঘ্র,ব্যাঘররা,ব্যাঘ্র
bang,ব্যাঙ,বাঙ,ব্যাঙ
bangke,ব্যাঙকে,ব্যাংকে,ব্যাঙকে
battel,ব্যাটেল,ব্যাটলেল,ব্যাটেল
bettle,ব্যাটেল,বেতলে,ব্যাটেল
badmintan,ব্যাডমিন্টন,বাদমিন্তন,ব্যাডমিন্টন
badminton,ব্যাডমিন্টন,ব্যামিন্তন,ব্যাডমিন্টন
banner,ব্যানার,বান়ানার,ব্যানার
bannerer,ব্যানারের,ব্যান্রের,ব্যানারের
byabilaniya,ব্যাবিলনিয়া,ব্যবিলিয়ান,ব্যাবিলনিয়া
babyloner,ব্যাবিলনের,বাবিলনের,ব্যাবিলনের
browsere,ব্রাউজারে,ব্রসেরে,ব্রাউজারে
brand,ব্রান্ড,ব্র্যান্ড,ব্রান্ড
brushh,ব্রাশ,ব্রুশ,ব্রাশ
breekim,ব্রেকিং,বৃকিম,ব্রেকিং
blagaar,ব্লগার,ব্লাগার,ব্লগার
bloger,ব্লগার,ব্লোজার,ব্লগার
bloggar,ব্লগার,ব্লো্ার,ব্লগার
blagaarader,ব্লগারদের,ব্লাগারদের,ব্লগারদের
blaak,ব্লাক,ব্লক,ব্লাক
black,ব্লাক,ব্লক,ব্লাক
blazar,ব্লেজার,ব্লাজার,ব্লেজার
blackmaeel,ব্ল্যাকমেইল,ব্লাকামেল,ব্ল্যাকমেইল
botso,বৎস,বৎশো,বৎস
bhajohori,ভজহরি,ভাজররী,ভজহরি
vojohori,ভজহরি,ভজোরী,ভজহরি
bhobshyat,ভবিষ্যৎ,ভব্ষ্যত,ভবিষ্যৎ
vobisshot,ভবিষ্যৎ,ভবিষ্যত,ভবিষ্যৎ
bhabisshatke,ভবিষ্যৎকে,ভবিষ্যাতকে,ভবিষ্যৎকে
vobissotke,ভবিষ্যৎকে,ভবিষ্যতকে,ভবিষ্যৎকে
bhorke,ভরকে,ভোর্ক,ভরকে
varsar,ভরসার,ভার্সার,ভরসার
bhorer,ভরের,ভররের,ভরের
vorer,ভরের,ভররের,ভরের
vortukir,ভর্তুকির,ভর্তুকীর,ভর্তুকির
voltea,ভল্টে,ভোলতে,ভল্টে
